GENERIC NAME,BRAND NAME,RESTRICTION CRITERIA
sorafenib,Nexavar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
stavudine,Zerit,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
streptozocin,Zanosar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
sunitinib,Sutent,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
tacrolimus,"ADVAgraf, Prograf",Restricted to solid organ transplant (SOT) OR bone marrow transplant (BMT) OR to indications outlined by BC Provincial Renal Agency (BCPRA) BCPRA Glomerulonephritis Formulary
tamoxifen,Tamofen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
temozolomide,Temodal,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
temsirolimus,Torisel,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
teniposide,Vumon,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
tenofovir,Viread,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS OR indications outlined by BCTS
testosterone enanthate,Delatestryl,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
thioguanine,Lanvis,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
thyrotropin alfa,Thyrogen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
ticagrelor,Brilinta,Restricted to the following criteria:
,,For continuity of care in patients who are using ticagrelor in the community
,,As per PharmaCare criteria for physicians who have signed off on the Collaborative Prescribing Agreement
,,
,,PharmaCare Criteria:
,,"To be taken in combination with ASA 75 mg _ 150 mg daily for patients with acute coronary syndrome (i.e., ST elevation myocardial infarction [STEMI], non-ST elevation myocardial infarction [NSTEMI] or unstable angina [UA]) with ONE of the following:"
,,Failure on optimal clopidogrel and ASA therapy as defined by definite stent thrombosis or recurrent STEMI or NSTEMI or UA after prior revascularization via percutaneous coronary intervention (PCI)
,,OR
,,STEMI and undergoing revascularization via PCI
,,OR
,,NSTEMI or UA and high risk angiographic anatomy and undergoing revascularization via PCI
ticarcillin+clavulanate,Timentin,Restricted to treatment of Stenotrophomonas maltophilia infections when other agents cannot be used due to intolerance or resistance
tigecycline,Tygacil,Restricted for use as a last line for patients with multi-drug resistant organism infections or intolerance to other antibiotics
tipranavir,Aptivus,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
topotecan,Hycamtin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
trastuzumab,Herceptin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
trastuzumab emtansine,Kadcyla,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
tretinoin,Vesanoid,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
valganciclovir,Valcyte,"Restricted to use in HIV/AIDS, transplant, hematology, oncology, or ophthalmology patients"
valine,L-valine,Restricted to inborn errors of metabolism
vemurafenib,Zelboraf,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
verteporfin,Visudyne,Restricted to wet macular degeneration only on provision of funding by the Ministry of Health
vinblastine,Velbe,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
vincristine,Oncovin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
vinorelbine,Navelbine,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
vismodegib,Erivedge,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
voriconazole,VFEND,Restricted to prophylaxis or treatment of aspergillus OR scedosporium OR fusarium OR in patients intolerant to or isolate resistant to amphotericin B deoxycholate or fluconazole. 
zanamivir,Relenza,Restricted to approval of the Medical Health Officer (MHO) for treatment or prophylaxis of influenza-like illness (ILL) unresponsive to other antivirals
zidovudine,Retrovir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
ziprasidone,Zeldox,Restricted to patient specific diagnosis identified as schizophrenia or other psychosis (not dementia related) PLUS treatment failure or intolerance to another anti-psychotic agent
zoledronic acid,Zometa,Restricted to treatment of osteogenesis imperfecta
